frame_number,x,y,sequence_id,sequence_annotation,number_of_points,still_file,Path,CTsite,CT_serial_number,Folder,xres,yres,Camera_ID
87,1317.305749,697.5295435,7,40,1,PICT0079.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
95,1397.454858,1067.742094,8,20,1,PICT0087.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
95,1424.171228,834.9280157,9,40,1,PICT0087.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
105,1424.171228,999.0428576,10,20,1,PICT0097.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
105,1435.6211,834.9280157,11,40,1,PICT0097.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
107,1527.220082,957.0599911,12,20,1,PICT0099.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
107,1542.486579,834.9280157,13,40,1,PICT0099.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
113,15.83688681,1247.123433,14,20,1,PICT0105.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
113,23.47013526,594.4806893,15,40,1,PICT0105.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
117,19.65351104,991.4096092,16,20,1,PICT0109.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
117,27.28675949,743.3290342,17,40,1,PICT0109.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
125,2343.977667,1426.504771,18,20,1,PICT0117.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
125,2401.22703,781.4952765,19,40,1,PICT0117.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
127,2298.178176,1201.323942,20,20,1,PICT0119.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
127,2336.344418,865.4610096,21,40,1,PICT0119.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
135,2450.843145,1094.458463,22,20,1,PICT0127.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
135,2481.376139,873.094258,23,40,1,PICT0127.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
157,767.71186,995.2262334,24,20,1,PICT0149.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
157,786.7949812,785.3119007,25,40,1,PICT0149.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
183,882.2105869,949.4267426,26,20,1,PICT0175.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
183,874.5773385,808.2116461,27,40,1,PICT0175.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
192,1733.31779,1086.825215,28,20,1,PICT0184.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
