"species","frame_number","x","y","sequence_id","number_of_points","still_file","Path","site_id","CT_serial_number","Folder","xdim","ydim","cam_id","file_name","file_id","Time","Date","PA_cat","Dig","radius","angle","pixdiff","dist","time","speed","frames"
"Da",313,37.6574304,284.3941121,"OCPD62_30",14,"PICT0017_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0017","PICT0017_OCPD62","10:15","27/04/2015","multiple-use","Y",3.38675419742955,-0.345842043835129,407.383902311748,2.58522860840095,10,0.258522860840095,14
"Da",334,242.5287215,324.4264334,"OCPD62_31",10,"PICT0019_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0019","PICT0019_OCPD62","14:24","27/04/2015","multiple-use","Y",2.38436684756799,-0.126035190135699,477.709876123853,1.20925926100153,5.5,0.219865320182097,10
"Da",355,416.787061,432.749185,"OCPD62_33",9,"PICT0023_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0023","PICT0023_OCPD62","05:58","29/04/2015","multiple-use","Y",1.40076443978391,0.0609269612263778,316.069057417815,1.10210060917107,4,0.275525152292768,9
"Da",375,486.2549125,405.6684971,"OCPD62_35",7,"PICT0026_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0026","PICT0026_OCPD62","18:06","29/04/2015","multiple-use","Y",1.53238245379007,0.135459170153694,430.61730385963,0.766616536934052,5,0.15332330738681,7
"Da",416,-82.41479732,563.4264489,"OCPD62_38",11,"PICT0053_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0053","PICT0053_OCPD62","15:34","04/05/2015","multiple-use","Y",1.00813942050635,-0.474667798044548,703.873201043619,0.893145392447581,10,0.0893145392447581,11
"Da",437,537.2785913,388.1070308,"OCPD62_40",6,"PICT0054_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0054","PICT0054_OCPD62","15:35","04/05/2015","multiple-use","Y",1.63008305554436,0.190202586085622,57.6213216256968,0.384047986904331,10,0.0384047986904331,6
"Da",479,533.8069197,521.7663892,"OCPD62_42",6,"PICT0056_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0056","PICT0056_OCPD62","06:35","06/05/2015","multiple-use","Y",1.04925569485175,0.186477822077076,211.42209737222,0.251912598241435,3.5,0.0719750280689814,6
"Da",491,757.7297408,443.6537772,"OCPD62_44",7,"PICT0056_13.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0056","PICT0056_OCPD62","06:35","06/05/2015","multiple-use","Y",1.28410209430223,0.426725103739721,201.459716993268,0.614506856771911,4,0.153626714192978,7
"Da",521,325.3463211,222.7437259,"OCPD62_47",14,"PICT0058_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0058","PICT0058_OCPD62","08:15","06/05/2015","multiple-use","Y",5.88993952669584,-0.0371800074438021,380.317588055629,3.03866656017162,8.5,0.357490183549603,14
"Da",542,459.430567,447.8486642,"OCPD62_49",4,"PICT0061_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0061","PICT0061_OCPD62","08:27","08/05/2015","multiple-use","Y",1.32109961496169,0.106679271539088,252.40880243459,0.365364145050557,1.5,0.243576096700371,4
