"species","frame_number","x","y","sequence_id","number_of_points","still_file","Path","site_id","CT_serial_number","Folder","xdim","ydim","cam_id","file_name","file_id","Time","Date","PA_cat","Dig","radius","angle","dtime","rtime","absangle"
"Mt",22,1.609840729,422.7605596,"OCGSV39_0",1,"PICT0012_01.jpeg","F:\Stills\PNGSV\OCGSV39Stills\","OCGSV39","B1210X19X6","OCGSV39Stills",720,480,"B12","PICT0012","PICT0012_OCGSV39","00:46","07/05/2017","strict","Y",1.29732413070163,-0.382375788993772,0.0319444444444444,0.200712863979348,0.382375788993772
"Mt",43,452.1114951,315.1587256,"OCGSV39_2",1,"PICT0013_01.jpeg","F:\Stills\PNGSV\OCGSV39Stills\","OCGSV39","B1210X19X6","OCGSV39Stills",720,480,"B12","PICT0013","PICT0013_OCGSV39","00:48","07/05/2017","strict","Y",1.89769409299807,0.0982761515715214,0.0333333333333333,0.20943951023932,0.0982761515715214
"Mt",0,-5.24413508,366.1627855,"OCGSV40_0",1,"PICT0158_01.jpeg","F:\Stills\PNGSV\OCGSV40Stills\","OCGSV40","B100826313","OCGSV40Stills",720,480,"B10","PICT0158","PICT0158_OCGSV40","01:05","30/04/2017","strict","Y",1.49030043111583,-0.391871226725064,0.0451388888888889,0.283616003449079,0.391871226725064
"Mt",0,501.3333333,233.7777778,"OCGSV41_0",1,"a(21)_01.jpeg","F:\Stills\PNGSV\OCGSV41Stills\","OCGSV41","B101028533","OCGSV41Stills",720,480,"B10","a(21)","a(21)_OCGSV41","19:55","21/05/2017","strict","Y",3.02330955759379,0.151636840616982,0.829861111111111,5.21417114033306,0.151636840616982
"Mt",225,7.219042919,391.7408865,"OCGSV41_11",1,"PICT0079_01.jpeg","F:\Stills\PNGSV\OCGSV41Stills\","OCGSV41","B101028533","OCGSV41Stills",720,480,"B10","PICT0079","PICT0079_OCGSV41","20:02","06/05/2017","strict","Y",1.24027705587056,-0.378499455949631,0.834722222222222,5.24471440224296,0.378499455949631
"Mt",51,-218.5933306,655.3994709,"OCGSV41_2",1,"a(37)_12.jpeg","F:\Stills\PNGSV\OCGSV41Stills\","OCGSV41","B101028533","OCGSV41Stills",720,480,"B10","a(37)","a(37)_OCGSV41","23:09","05/06/2017","strict","Y",0.599864699679699,-0.620774042511321,0.964583333333333,6.06065582755031,0.620774042511321
"Mt",61,95.41465319,370.5179224,"OCGSV41_3",1,"a(39)_01.jpeg","F:\Stills\PNGSV\OCGSV41Stills\","OCGSV41","B101028533","OCGSV41Stills",720,480,"B10","a(39)","a(39)_OCGSV41","20:12","06/06/2017","strict","Y",1.34259138463664,-0.283874193914712,0.841666666666667,5.28834763354282,0.283874193914712
"Mt",90,-82.15334151,373.317044,"OCGSV41_5",1,"PICT0020_10.jpeg","F:\Stills\PNGSV\OCGSV41Stills\","OCGSV41","B101028533","OCGSV41Stills",720,480,"B10","PICT0020","PICT0020_OCGSV41","22:48","11/04/2017","strict","Y",1.36176087510878,-0.474387281537481,0.95,5.96902604182061,0.474387281537481
"Mt",122,418.2925527,209.7914573,"OCGSV41_6",1,"PICT0022_01.jpeg","F:\Stills\PNGSV\OCGSV41Stills\","OCGSV41","B101028533","OCGSV41Stills",720,480,"B10","PICT0022","PICT0022_OCGSV41","22:49","11/04/2017","strict","Y",4.15194657499557,0.0625422065448937,0.950694444444444,5.97338936495059,0.0625422065448937
"Mt",142,773.5921905,332.8621004,"OCGSV41_8",1,"PICT0024_01.jpeg","F:\Stills\PNGSV\OCGSV41Stills\","OCGSV41","B101028533","OCGSV41Stills",720,480,"B10","PICT0024","PICT0024_OCGSV41","23:38","12/04/2017","strict","Y",1.44039963297214,0.443743960514634,0.984722222222222,6.1871921983199,0.443743960514634
"Mt",164,425.7838091,239.756483,"OCGSV41_9",1,"PICT0068_02.jpeg","F:\Stills\PNGSV\OCGSV41Stills\","OCGSV41","B101028533","OCGSV41Stills",720,480,"B10","PICT0068","PICT0068_OCGSV41","02:12","03/05/2017","strict","Y",2.92062543792635,0.0705795918256649,0.0916666666666667,0.575958653158129,0.0705795918256649
"Mt",66,157.8954115,866.9262958,"OCGSV43_30",1,"a(8)_01.jpeg","F:\Stills\PNGSV\OCGSV43Stills\","OCGSV43","B121000651","OCGSV43Stills",720,480,"B12","a(8)","a(8)_OCGSV43","02:56","26/05/2017","strict","Y",0.429918847260701,-0.215630645785989,0.122222222222222,0.767944870877505,0.215630645785989
"Da",0,588.6077904,462.5326102,"OCGSV44_0",1,"EK000003_01.jpeg","F:\Stills\PNGSV\OCGSV44Stills\","OCGSV44","B131200441","OCGSV44Stills",720,480,"B13","EK000003","EK000003_OCGSV44","17:32","13/04/2017","strict","Y",1.18384737751124,0.244902318788271,0.730555555555556,4.59021593274509,0.244902318788271
"Da",161,760.9870024,279.3767324,"OCGSV44_10",1,"EK000017_08.jpeg","F:\Stills\PNGSV\OCGSV44Stills\","OCGSV44","B131200441","OCGSV44Stills",720,480,"B13","EK000017","EK000017_OCGSV44","06:25","29/05/2017","strict","Y",3.17246087342862,0.429568242271582,0.267361111111111,1.67987940504454,0.429568242271582
"Da",176,810.5234095,679.3463153,"OCGSV44_12",1,"EK000018_01.jpeg","F:\Stills\PNGSV\OCGSV44Stills\","OCGSV44","B131200441","OCGSV44Stills",720,480,"B13","EK000018","EK000018_OCGSV44","06:46","01/06/2017","strict","Y",0.80047424112192,0.482635466892417,0.281944444444444,1.77150919077424,0.482635466892417
"Da",198,670.9324107,569.8942821,"OCGSV44_13",1,"EK000019_01.jpeg","F:\Stills\PNGSV\OCGSV44Stills\","OCGSV44","B131200441","OCGSV44Stills",720,480,"B13","EK000019","EK000019_OCGSV44","06:48","01/06/2017","strict","Y",0.943920228464081,0.333094809383439,0.283333333333333,1.78023583703422,0.333094809383439
"Da",198,667.759888,566.7217594,"OCGSV44_14",1,"EK000019_01.jpeg","F:\Stills\PNGSV\OCGSV44Stills\","OCGSV44","B131200441","OCGSV44Stills",720,480,"B13","EK000019","EK000019_OCGSV44","06:48","01/06/2017","strict","Y",0.949259288675046,0.329696158076417,0.283333333333333,1.78023583703422,0.329696158076417
"Da",44,463.7053346,348.9083147,"OCGSV44_2",1,"EK000007_01.jpeg","F:\Stills\PNGSV\OCGSV44Stills\","OCGSV44","B131200441","OCGSV44Stills",720,480,"B13","EK000007","EK000007_OCGSV44","17:36","13/04/2017","strict","Y",1.56941701198345,0.111097162829905,0.733333333333333,4.60766922526503,0.111097162829905
"Da",96,629.3723328,700.3471427,"OCGSV44_6",1,"EK000012_09.jpeg","F:\Stills\PNGSV\OCGSV44Stills\","OCGSV44","B131200441","OCGSV44Stills",720,480,"B13","EK000012","EK000012_OCGSV44","06:55","29/04/2017","strict","Y",0.717273043767321,0.288572444555354,0.288194444444444,1.81077909894412,0.288572444555354
"Da",110,362.7065639,304.0521806,"OCGSV44_7",1,"EK000015_01.jpeg","F:\Stills\PNGSV\OCGSV44Stills\","OCGSV44","B131200441","OCGSV44Stills",720,480,"B13","EK000015","EK000015_OCGSV44","06:23","29/05/2017","strict","Y",1.71755950730378,0.00289948025786358,0.265972222222222,1.67115275878457,0.00289948025786358
"Mt",68,695.7316429,318.1906379,"OCGSV45_28",1,"a(03)_01.jpeg","F:\Stills\PNGSV\OCGSV45Stills\","OCGSV45","B131200426","OCGSV45Stills",720,480,"B13","a(3)","a(3)_OCGSV45","01:25","22/05/2017","strict","Y",2.39233234062515,0.359661661979853,0.0590277777777778,0.370882466048795,0.359661661979853
"Mt",90,774.5700266,328.8948342,"OCGSV45_30",1,"a(18)_01.jpeg","F:\Stills\PNGSV\OCGSV45Stills\","OCGSV45","B131200426","OCGSV45Stills",720,480,"B13","a(18)","a(18)_OCGSV45","22:08","31/05/2017","strict","Y",2.18403104208804,0.444119426712482,0.922222222222222,5.79449311662117,0.444119426712482
